Transmitter_MAC,Is_Access_Point,strongest_rssi,frequency,sniff_time,BSSID,SSID
6c:70:9f:ef:6e:aa,True,-58,2412,2021-05-30 16:43:36.988873,6c:70:9f:ef:6e:aa,
7c:57:3c:ed:8b:80,True,-81,2412,2021-05-30 16:44:03.176171,7c:57:3c:ed:8b:80,Columbia University
c6:30:99:fd:11:e7,False,-56,2412,2021-05-30 16:42:48.672837,00:25:00:ff:94:73,
48:d7:05:f0:36:6e,True,-61,2412,2021-05-30 16:42:53.551465,,
7c:57:3c:f9:8c:40,True,-78,2412,2021-05-30 16:43:00.794551,7c:57:3c:f9:8c:40,Columbia University
7c:57:3c:f9:8c:42,True,-78,2412,2021-05-30 16:42:56.698767,7c:57:3c:f9:8c:42,eduroam
7c:57:3c:ed:d8:c0,True,-82,2412,2021-05-30 16:43:44.425424,7c:57:3c:ed:d8:c0,Columbia University
7c:57:3c:ed:d8:c2,True,-84,2412,2021-05-30 16:44:33.883511,7c:57:3c:ed:d8:c2,eduroam
7c:57:3c:f9:8c:41,True,-78,2412,2021-05-30 16:42:55.060211,7c:57:3c:f9:8c:41,Columbia U Secure
7c:57:3c:ed:d8:c1,True,-82,2412,2021-05-30 16:44:24.974485,7c:57:3c:ed:d8:c1,Columbia U Secure
7c:57:3c:ed:8b:82,True,-80,2412,2021-05-30 16:44:30.927029,7c:57:3c:ed:8b:82,eduroam
7c:57:3c:ed:8b:81,True,-81,2412,2021-05-30 16:44:10.753914,7c:57:3c:ed:8b:81,Columbia U Secure
70:73:cb:bb:cc:2f,True,-75,2412,2021-05-30 16:44:54.088523,70:73:cb:bb:cc:2f,skn_station
6c:ad:f8:73:cb:c9,False,-60,2412,2021-05-30 16:42:53.549982,,
7c:57:3c:f8:50:a1,True,-79,2412,2021-05-30 16:42:53.891974,7c:57:3c:f8:50:a1,Columbia U Secure
65:b8:0b:c8:cd:c9,False,-63,2412,2021-05-30 16:42:55.622537,48:d7:05:f0:36:ee,
68:ec:c5:c1:92:e7,False,-49,2412,2021-05-30 16:42:57.975705,ff:ff:ff:ff:ff:ff,SSID:
f8:bb:bf:29:de:e6,False,-76,2412,2021-05-30 16:43:05.325788,,
98:da:c4:f3:56:66,True,-71,2412,2021-05-30 16:43:05.339958,98:da:c4:f3:56:66,TP-Link_5666
e8:26:89:91:3a:e0,False,-70,2412,2021-05-30 16:43:05.566768,e8:26:89:91:3a:e0,
ee:af:9d:50:40:22,False,-58,2412,2021-05-30 16:43:09.220598,ff:ff:ff:ff:ff:ff,SSID:
d4:6d:6d:5d:fe:2b,False,-63,2412,2021-05-30 16:43:14.912645,ff:ff:ff:ff:ff:ff,SSID:
6c:6d:f8:73:cb:c9,False,-64,2412,2021-05-30 16:43:24.816190,48:d7:ad:f0:36:6e,
1c:1a:c0:a3:41:8a,False,-62,2412,2021-05-30 16:43:30.856602,ff:ff:ff:ff:ff:ff,SSID:
6c:ad:f8:73:cb:d9,False,-63,2412,2021-05-30 16:43:31.897170,48:d7:05:f0:36:6e,
7c:57:3c:f8:50:a0,True,-80,2412,2021-05-30 16:43:33.315934,7c:57:3c:f8:50:a0,Columbia University
d0:7e:35:f9:a5:01,False,-71,2412,2021-05-30 16:43:34.508129,ff:ff:ff:ff:ff:ff,SSID:
1c:1a:c0:6f:41:1e,False,-52,2412,2021-05-30 16:43:36.988175,,
d8:0d:17:32:7f:41,True,-72,2412,2021-05-30 16:44:37.325187,d8:0d:17:32:7f:41,speechlab
6c:2d:5b:11:cb:c9,False,-63,2412,2021-05-30 16:43:56.105665,48:d7:05:f0:36:6e,
c4:d9:87:21:46:ac,False,-74,2412,2021-05-30 16:44:14.981787,ff:ff:ff:ff:ff:ff,Columbia University
6c:ad:e0:73:cb:c9,False,-63,2412,2021-05-30 16:44:24.814110,4b:d7:05:f0:36:6e,
1d:35:cb:7a:e6:cd,False,-63,2412,2021-05-30 16:44:24.814126,48:d7:05:f0:36:1e,
d0:e7:82:c4:73:e3,False,-70,2412,2021-05-30 16:44:28.402195,ff:ff:ff:ff:ff:ff,SSID:
3c:37:86:49:12:42,False,-73,2412,2021-05-30 16:44:37.056605,3c:37:86:49:12:42,
66:ad:f8:73:cb:c9,False,-63,2412,2021-05-30 16:44:47.908031,48:d7:05:f0:36:6e,
5c:29:a9:72:cb:c9,False,-63,2412,2021-05-30 16:44:47.912462,e9:da:05:f0:36:be,
4f:38:75:5f:2d:fd,False,-63,2412,2021-05-30 16:44:47.933223,c8:68:9c:3c:ef:29,
e2:a7:59:e2:8e:c9,False,-63,2412,2021-05-30 16:44:47.987209,48:d7:31:e2:c5:d5,
38:1b:69:50:5e:c4,False,-63,2412,2021-05-30 16:44:47.987593,f7:6c:29:5e:57:e0,
